id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
49,90730030002,179280,9.999877287,2019-10-10,1360,0.0567,29.75624,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
49,90730030002,179280,9.999877287,2019-10-10,1360,0.0567,29.75624,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
50,90730030003,266207,9.999710752,2013-11-05,1296,0.0567,29.75625,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
50,90730030003,266207,9.999710752,2013-11-05,1296,0.0567,29.75625,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
50,90730030003,266207,9.999710752,2013-11-05,1296,0.0567,29.75625,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
51,90730030004,179280,9.999877287,2003-01-01,1360,0.0567,29.75625,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
51,90730030004,179280,9.999877287,2003-01-01,1360,0.0567,29.75625,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
51,90730030004,179280,9.999877287,2003-01-01,1360,0.0567,29.75625,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
53,90740000006,212960,10,2001-04-10,1209,0.0574,29.75588,-95.38032,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
53,90740000006,212960,10,2001-04-10,1209,0.0574,29.75588,-95.38032,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
53,90740000006,212960,10,2001-04-10,1209,0.0574,29.75588,-95.38032,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
54,90770000015,120861,-11.48437843,2014-04-13,1802,0.0413,29.75668,-95.38122,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
54,90770000015,120861,-11.48437843,2014-04-13,1802,0.0413,29.75668,-95.38122,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
54,90770000015,120861,-11.48437843,2014-04-13,1802,0.0413,29.75668,-95.38122,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
55,90770000016,323024,11.77301038,2015-05-08,1749,0.0606,29.75695,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
55,90770000016,323024,11.77301038,2015-05-08,1749,0.0606,29.75695,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
55,90770000016,323024,11.77301038,2015-05-08,1749,0.0606,29.75695,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912322,High,95,1,90
56,90770000017,322204,0.454878486,2013-07-05,1749,0.0554,29.75686,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
